filename;line_total;line_covered;line_percent;branch_total;branch_covered;branch_percent;mutation_score
Heap;44;44;1,0;24;24;1,0;1,000000
InversePermutation;17;17;1,0;14;14;1,0;1,000000
LRS;42;42;1,0;18;18;1,0;1,000000
MergeSort;36;36;1,0;18;18;1,0;1,000000
Queue;45;43;0,956;20;19;0,95;1,000000
Stack;49;47;0,9590000000000001;18;17;0,9440000000000001;1,000000
UnixCal;102;100;0,98;55;54;0,982;1,000000
boundedQueue;43;43;1,0;10;10;1,0;1,000000
cal;22;22;1,0;10;10;1,0;1,000000
Calculation;39;39;1,0;28;28;1,0;1,000000
checkIt;8;8;1,0;6;6;1,0;1,000000
CheckPalindrome;15;15;1,0;6;6;1,0;1,000000
countPositive;11;11;1,0;6;6;1,0;1,000000
date-plus;113;112;0,991;58;56;0,966;1,000000
DigitReverser;19;19;1,0;4;4;1,0;1,000000
findLast;14;12;0,857;8;7;0,875;1,000000
findVal;12;12;1,0;6;6;1,0;1,000000
jday-jdate;37;37;1,0;6;6;1,0;1,000000
lastZero;11;11;1,0;6;6;1,0;1,000000
numZero;14;12;0,857;8;7;0,875;1,000000
oddOrPos;11;11;1,0;10;10;1,0;1,000000
pcal;154;146;0,948;112;102;0,9109999999999999;1,000000
power;12;12;1,0;4;4;1,0;1,000000
printPrimes;29;29;1,0;12;12;1,0;1,000000
quicksort;30;30;1,0;16;16;1,0;1,000000
sum;10;10;1,0;4;4;1,0;1,000000
RecursiveSelectionSort;21;21;1,0;10;10;1,0;1,000000
trashAndTakeOut;21;21;1,0;8;8;1,0;1,000000
